Guten Tag, Ich habe eine Frage bezüglich der Dusche. Das Wasser kann sehr heiss eingestellt werden und ich finde das sehr gefährlich. Ist es möglich, die maximale Temperatur herunter zu setzen? Vielen Dank und liebe Grüsse;Petra
Hallo, beim Wasserhahn in der Küche tropft Wasser hinaus. Ich wäre froh, wenn Sie dies reparieren lassen könnten. Vielen Dank und freundliche Grüsse;Petra
Guten Tag, unser Dach scheint nicht dicht zu sein. Es tropft in die Wohnung, wenn es fest regnet. Bitte schauen sie mal nach. So lange dies nicht repariert ist, würde ich gerne weniger Miete bezahlen. Danke;Petra
Guten Abend, meine Badewanne ist leider übergelaufen und nun tropft es beim Nachbar unter von der Decke. Können Sie mir einen Rat geben? Vielen Dank und freundliche Grüsse;Petra
Hallo, der Abfluss beim Lavabo in der Küche ist verstopft. Das Wasser läuft nicht mehr ab. Ich wäre froh, wenn Sie jemanden vorbei schicken könnten, der das repariert. Danke. Freundliche Grüsse;Petra
Guten Tag, in meinem Badezimmer stinkt es seit ein paar Tagen. Ich habe das Gefühl, dass irgendetwas verstopft ist. Vielen Dank im Voraus für Ihre Hilfe. Freundliche Grüsse;Petra
Guten Tag, Der Wasserhahn in meinem Bad hört nicht mehr auf zu tropfen. Haben Sie einen Tipp? Danke und herzliche Grüsse;Petra
Guten Morgen, aus dem Wasserhahn in meinem Badezimmer kommt nur noch kaltes Wasser. Bis vor kurzem kam das warme Wasser noch ganz normal. Ich bitte Sie, dies reparieren zu lassen.;Petra
Guten Tag, in meinem Badezimmer ist der Abfluss im Lavabo verstopft. Das Wasser fliesst nicht mehr ab. Können Sie jemanden vorbei schicken? Danke;Petra
Hallo die Waschmaschine im Keller funktioniert nicht mehr. Sie geht zwar noch an, aber sie fängt nicht mehr an zu waschen. Ich bitte Sie, dies reparieren zu lassen. Vielen Dank und freundliche Grüsse;Petra
Liebe Verwaltung, die Waschmaschine in unserer Wohnung hat gerünnt und nun ist unser Reduit voller Wasser. Es ist nun wieder alles sauber aber wir wären froh, wenn Sie die Waschmaschine reparieren lassen könnten. Gruss;Petra
Guten Tag, unser Keller ist unter Wasser, ich bitte Sie, jemanden vorbei zu schicken. Ist es möglich in dieser Zeit weniger Miete zu bezahlen? Vielen Dank.;Petra
Hallo, wir haben in der Dusche kein warmes Wasser mehr. Haben Sie einen Tipp, was wir zuerst untersuchen könnten? Zudem habe ich eine Frage zu den Nebenkosten, könnten Sie mich bitte zurückrufen. Freundliche Grüsse;Petra
Guten Tag, Die Spülung in unserem WC funktionert nicht mehr. Wir wären froh, wenn Sie dies reparieren könnten. Vielen Dank.;Petra
Guten Tag, In unserer Küche kommt nur noch kaltes Wasser. Wir wären froh, wenn Sie dies baldmöglichst untersuchen könnten. Danke und Gruss;Petra
Hallo, Das Lavabo in unserem Bad ist verstopft und das Wasser läuft nicht mehr ab. Bitte lassen Sie dies reparieren. Vielen Dank.;Petra
Guten Tag, unsere Waschmaschine funktionert nicht mehr. Sie lässt sich zwar anschalten, aber sie reagiert danach nicht auf die Knöpfe. Haben Sie einen Tipp? Freundliche Grüsse;Petra
Hallo, ich wollte nur kurz mitteilen, dass wir in unserer Badewanne nun wieder warmes Wasser haben. Vielen Dank für die rasche Reparatur.;Petra
